full_text,Filtering,Case_Folding,Tokenizing,Stemming,Stopwords_Removal,clean_text
gue perlu bikin sleep diary juga deh kyk di breeze of love itu gue liat liat berguna sih ya soalnya gue insomnia juga ,gue perlu bikin sleep diary juga deh kyk di breeze of love itu gue liat liat berguna sih ya soalnya gue insomnia juga ,gue perlu bikin sleep diary juga deh kyk di breeze of love itu gue liat liat berguna sih ya soalnya gue insomnia juga ,"['gue', 'perlu', 'bikin', 'sleep', 'diary', 'juga', 'deh', 'kyk', 'di', 'breeze', 'of', 'love', 'itu', 'gue', 'liat', 'liat', 'berguna', 'sih', 'ya', 'soalnya', 'gue', 'insomnia', 'juga']","['gue', 'perlu', 'bikin', 'sleep', 'diary', 'juga', 'deh', 'kyk', 'di', 'breeze', 'of', 'love', 'itu', 'gue', 'liat', 'liat', 'guna', 'sih', 'ya', 'soal', 'gue', 'insomnia', 'juga']","['gue', 'perlu', 'bikin', 'sleep', 'diary', 'deh', 'kyk', 'breeze', 'of', 'love', 'gue', 'liat', 'liat', 'guna', 'sih', 'ya', 'soal', 'gue', 'insomnia']","['gue', 'perlu', 'bikin', 'sleep', 'diary', 'deh', 'kyk', 'breeze', 'of', 'love', 'gue', 'liat', 'liat', 'guna', 'sih', 'ya', 'soal', 'gue', 'insomnia']"
Tidur itu enakk (apalagi kalo ketiduran) makanya yang pelor harus banyakin syukur deh insomnia tuh nyiksa soalnya,Tidur itu enakk apalagi kalo ketiduran makanya yang pelor harus banyakin syukur deh insomnia tuh nyiksa soalnya,tidur itu enakk apalagi kalo ketiduran makanya yang pelor harus banyakin syukur deh insomnia tuh nyiksa soalnya,"['tidur', 'itu', 'enakk', 'apalagi', 'kalo', 'ketiduran', 'makanya', 'yang', 'pelor', 'harus', 'banyakin', 'syukur', 'deh', 'insomnia', 'tuh', 'nyiksa', 'soalnya']","['tidur', 'itu', 'enakk', 'apalagi', 'kalo', 'tidur', 'makanya', 'yang', 'pelor', 'harus', 'banyakin', 'syukur', 'deh', 'insomnia', 'tuh', 'nyiksa', 'soal']","['tidur', 'enakk', 'apalagi', 'kalo', 'tidur', 'makanya', 'pelor', 'harus', 'banyakin', 'syukur', 'deh', 'insomnia', 'tuh', 'nyiksa', 'soal']","['tidur', 'enakk', 'apalagi', 'kalo', 'tidur', 'makanya', 'pelor', 'harus', 'banyakin', 'syukur', 'deh', 'insomnia', 'tuh', 'nyiksa', 'soal']"
@nunonana2 Kan insomnia judul nya , Kan insomnia judul nya , kan insomnia judul nya ,"['kan', 'insomnia', 'judul', 'nya']","['kan', 'insomnia', 'judul', 'nya']","['kan', 'insomnia', 'judul', 'nya']","['kan', 'insomnia', 'judul', 'nya']"
@mipyeon insomnia nuna? udah tidur nun semalem, insomnia nuna udah tidur nun semalem, insomnia nuna udah tidur nun semalem,"['insomnia', 'nuna', 'udah', 'tidur', 'nun', 'semalem']","['insomnia', 'nuna', 'udah', 'tidur', 'nun', 'semalem']","['insomnia', 'nuna', 'udah', 'tidur', 'nun', 'semalem']","['insomnia', 'nuna', 'udah', 'tidur', 'nun', 'semalem']"
@RRaneswara5125 jangan kopi aku masih belum boleh kopi. takut insomnia lagi. , jangan kopi aku masih belum boleh kopi takut insomnia lagi , jangan kopi aku masih belum boleh kopi takut insomnia lagi ,"['jangan', 'kopi', 'aku', 'masih', 'belum', 'boleh', 'kopi', 'takut', 'insomnia', 'lagi']","['jangan', 'kopi', 'aku', 'masih', 'belum', 'boleh', 'kopi', 'takut', 'insomnia', 'lagi']","['jangan', 'kopi', 'aku', 'masih', 'boleh', 'kopi', 'takut', 'insomnia']","['jangan', 'kopi', 'aku', 'masih', 'boleh', 'kopi', 'takut', 'insomnia']"
Kita tunggu dulu setlist nya baru nyari tiketnya wkwk jebal insomnia masuk (memohon dengan lemah lembut),Kita tunggu dulu setlist nya baru nyari tiketnya wkwk jebal insomnia masuk memohon dengan lemah lembut,kita tunggu dulu setlist nya baru nyari tiketnya wkwk jebal insomnia masuk memohon dengan lemah lembut,"['kita', 'tunggu', 'dulu', 'setlist', 'nya', 'baru', 'nyari', 'tiketnya', 'wkwk', 'jebal', 'insomnia', 'masuk', 'memohon', 'dengan', 'lemah', 'lembut']","['kita', 'tunggu', 'dulu', 'setlist', 'nya', 'baru', 'nyari', 'tiket', 'wkwk', 'jebal', 'insomnia', 'masuk', 'mohon', 'dengan', 'lemah', 'lembut']","['tunggu', 'dulu', 'setlist', 'nya', 'baru', 'nyari', 'tiket', 'wkwk', 'jebal', 'insomnia', 'masuk', 'mohon', 'lemah', 'lembut']","['tunggu', 'dulu', 'setlist', 'nya', 'baru', 'nyari', 'tiket', 'wkwk', 'jebal', 'insomnia', 'masuk', 'mohon', 'lemah', 'lembut']"
@omulasu22 Long weekend sir? Ama yako ni insomnia tu?, Long weekend sir Ama yako ni insomnia tu, long weekend sir ama yako ni insomnia tu,"['long', 'weekend', 'sir', 'ama', 'yako', 'ni', 'insomnia', 'tu']","['long', 'weekend', 'sir', 'ama', 'yako', 'ni', 'insomnia', 'tu']","['long', 'weekend', 'sir', 'ama', 'yako', 'ni', 'insomnia', 'tu']","['long', 'weekend', 'sir', 'ama', 'yako', 'ni', 'insomnia', 'tu']"
Surya Insomnia kata ni bocah @dobinguk ,Surya Insomnia kata ni bocah  ,surya insomnia kata ni bocah  ,"['surya', 'insomnia', 'kata', 'ni', 'bocah']","['surya', 'insomnia', 'kata', 'ni', 'bocah']","['surya', 'insomnia', 'kata', 'ni', 'bocah']","['surya', 'insomnia', 'kata', 'ni', 'bocah']"
perasaanku aja apa gimana senyumnya el putra mirip surya insomnia bgtt,perasaanku aja apa gimana senyumnya el putra mirip surya insomnia bgtt,perasaanku aja apa gimana senyumnya el putra mirip surya insomnia bgtt,"['perasaanku', 'aja', 'apa', 'gimana', 'senyumnya', 'el', 'putra', 'mirip', 'surya', 'insomnia', 'bgtt']","['asa', 'aja', 'apa', 'gimana', 'senyum', 'el', 'putra', 'mirip', 'surya', 'insomnia', 'bgtt']","['asa', 'aja', 'apa', 'gimana', 'senyum', 'el', 'putra', 'mirip', 'surya', 'insomnia', 'bgtt']","['asa', 'aja', 'apa', 'gimana', 'senyum', 'el', 'putra', 'mirip', 'surya', 'insomnia', 'bgtt']"
@cloudelle_ Jangan yah, Jangan yah, jangan yah,"['jangan', 'yah']","['jangan', 'yah']","['jangan', 'yah']","['jangan', 'yah']"
Wah gila ketikan lu jahat banget lu gak tahu yaa rasanya ovt insomnia cemas i was there in that situation dan buat sembuh tuh gak segampang yang lu pikir anjir. Itu kenapa member try to make he feel comfort and try to build his confident,Wah gila ketikan lu jahat banget lu gak tahu yaa rasanya ovt insomnia cemas i was there in that situation dan buat sembuh tuh gak segampang yang lu pikir anjir Itu kenapa member try to make he feel comfort and try to build his confident,wah gila ketikan lu jahat banget lu gak tahu yaa rasanya ovt insomnia cemas i was there in that situation dan buat sembuh tuh gak segampang yang lu pikir anjir itu kenapa member try to make he feel comfort and try to build his confident,"['wah', 'gila', 'ketikan', 'lu', 'jahat', 'banget', 'lu', 'gak', 'tahu', 'yaa', 'rasanya', 'ovt', 'insomnia', 'cemas', 'i', 'was', 'there', 'in', 'that', 'situation', 'dan', 'buat', 'sembuh', 'tuh', 'gak', 'segampang', 'yang', 'lu', 'pikir', 'anjir', 'itu', 'kenapa', 'member', 'try', 'to', 'make', 'he', 'feel', 'comfort', 'and', 'try', 'to', 'build', 'his', 'confident']","['wah', 'gila', 'keti', 'lu', 'jahat', 'banget', 'lu', 'gak', 'tahu', 'yaa', 'rasa', 'ovt', 'insomnia', 'cemas', 'i', 'was', 'there', 'in', 'that', 'situation', 'dan', 'buat', 'sembuh', 'tuh', 'gak', 'gampang', 'yang', 'lu', 'pikir', 'anjir', 'itu', 'kenapa', 'member', 'try', 'to', 'make', 'he', 'feel', 'comfort', 'and', 'try', 'to', 'build', 'his', 'confident']","['wah', 'gila', 'keti', 'lu', 'jahat', 'banget', 'lu', 'gak', 'tahu', 'yaa', 'rasa', 'ovt', 'insomnia', 'cemas', 'i', 'was', 'there', 'in', 'that', 'situation', 'buat', 'sembuh', 'tuh', 'gak', 'gampang', 'lu', 'pikir', 'anjir', 'kenapa', 'member', 'try', 'to', 'make', 'he', 'feel', 'comfort', 'and', 'try', 'to', 'build', 'his', 'confident']","['wah', 'gila', 'keti', 'lu', 'jahat', 'banget', 'lu', 'gak', 'tahu', 'yaa', 'rasa', 'ovt', 'insomnia', 'cemas', 'i', 'was', 'there', 'in', 'that', 'situation', 'buat', 'sembuh', 'tuh', 'gak', 'gampang', 'lu', 'pikir', 'anjir', 'kenapa', 'member', 'try', 'to', 'make', 'he', 'feel', 'comfort', 'and', 'try', 'to', 'build', 'his', 'confident']"
Tart cherry baru first bottle tapi nak habis dah kalau ada insomnia ringan please try minum tidur lagi lena tau. Boleh jugak bantu kurangkan keradangan/sakit otot turunkan paras uric acid &amp; gout baik untuk jantung &amp; tingkatkan imuniti. ️ https://t.co/st117rBZo2 https://t.co/e7g4YTha82,Tart cherry baru first bottle tapi nak habis dah kalau ada insomnia ringan please try minum tidur lagi lena tau Boleh jugak bantu kurangkan keradangansakit otot turunkan paras uric acid amp gout baik untuk jantung amp tingkatkan imuniti   ,tart cherry baru first bottle tapi nak habis dah kalau ada insomnia ringan please try minum tidur lagi lena tau boleh jugak bantu kurangkan keradangansakit otot turunkan paras uric acid amp gout baik untuk jantung amp tingkatkan imuniti   ,"['tart', 'cherry', 'baru', 'first', 'bottle', 'tapi', 'nak', 'habis', 'dah', 'kalau', 'ada', 'insomnia', 'ringan', 'please', 'try', 'minum', 'tidur', 'lagi', 'lena', 'tau', 'boleh', 'jugak', 'bantu', 'kurangkan', 'keradangansakit', 'otot', 'turunkan', 'paras', 'uric', 'acid', 'amp', 'gout', 'baik', 'untuk', 'jantung', 'amp', 'tingkatkan', 'imuniti']","['tart', 'cherry', 'baru', 'first', 'bottle', 'tapi', 'nak', 'habis', 'dah', 'kalau', 'ada', 'insomnia', 'ringan', 'please', 'try', 'minum', 'tidur', 'lagi', 'lena', 'tau', 'boleh', 'jugak', 'bantu', 'kurang', 'keradangansakit', 'otot', 'turun', 'paras', 'uric', 'acid', 'amp', 'gout', 'baik', 'untuk', 'jantung', 'amp', 'tingkat', 'imuniti']","['tart', 'cherry', 'baru', 'first', 'bottle', 'tapi', 'nak', 'habis', 'dah', 'kalau', 'insomnia', 'ringan', 'please', 'try', 'minum', 'tidur', 'lena', 'tau', 'boleh', 'jugak', 'bantu', 'kurang', 'keradangansakit', 'otot', 'turun', 'paras', 'uric', 'acid', 'amp', 'gout', 'baik', 'jantung', 'amp', 'tingkat', 'imuniti']","['tart', 'cherry', 'baru', 'first', 'bottle', 'tapi', 'nak', 'habis', 'dah', 'kalau', 'insomnia', 'ringan', 'please', 'try', 'minum', 'tidur', 'lena', 'tau', 'boleh', 'jugak', 'bantu', 'kurang', 'keradangansakit', 'otot', 'turun', 'paras', 'uric', 'acid', 'amp', 'gout', 'baik', 'jantung', 'amp', 'tingkat', 'imuniti']"
Capek banget insomnia sedih bgt baru bisa tidur jam 3 ke bawah ,Capek banget insomnia sedih bgt baru bisa tidur jam  ke bawah ,capek banget insomnia sedih bgt baru bisa tidur jam  ke bawah ,"['capek', 'banget', 'insomnia', 'sedih', 'bgt', 'baru', 'bisa', 'tidur', 'jam', 'ke', 'bawah']","['capek', 'banget', 'insomnia', 'sedih', 'bgt', 'baru', 'bisa', 'tidur', 'jam', 'ke', 'bawah']","['capek', 'banget', 'insomnia', 'sedih', 'bgt', 'baru', 'bisa', 'tidur', 'jam', 'bawah']","['capek', 'banget', 'insomnia', 'sedih', 'bgt', 'baru', 'bisa', 'tidur', 'jam', 'bawah']"
